Item,Reference(s),References (Trunc.),Value,Quantity,DigiKey PN,Mfg.,Mfg. PN
1,R230,R230,2.4M,1,541-2.40MCCT-ND,Vishay,CRCW08052M40FKEA
2,R230,R230,1.15M,1,541-1.15MCCT-ND,Vishay,CRCW08051M15FKEA
3,R230,R230,732k,1,541-732KCCT-ND,Vishay,CRCW0805732KFKEA
4,D308,D308,ORANGE,1,160-1434-1-ND,Lite-On,LTST-C190KFKT
5,TH301 TH302,TH301 TH302,10k,2,480-3153-1-ND,Honeywell,480-3153-1-ND
