Reference,Part,Count,Place?
"RV1, P1, P2",1x3 Header - Straight,3,
U2,RC4558IDGKR,1,
"C1, C2, C3",0.1 _F,3,
R1,R,1,DNP
R2,R,1,DNP
U1,REG7805,1,
